127.0.0.1 - - [25/Dec/2024:18:54:51 +0200] "GET /favicon.ico HTTP/1.1" 404 207 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Dec/2024:18:54:52 +0200] "GET /static/manifest.json HTTP/1.1" 200 490 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Dec/2024:18:54:52 +0200] "GET /static/icons/ico512.png HTTP/1.1" 200 62109 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Dec/2024:18:54:52 +0200] "GET /static/icons/ico.png HTTP/1.1" 200 17589 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Dec/2024:18:54:52 +0200] "GET /static/icons/ico512.png HTTP/1.1" 200 62109 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET / HTTP/1.1" 200 4284 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/styles.css HTTP/1.1" 200 5523 "https://192.168.0.138/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/icons/ico.png HTTP/1.1" 200 17589 "https://192.168.0.138/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/screenshots/jackpot_left.png HTTP/1.1" 200 428419 "https://192.168.0.138/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/app.js HTTP/1.1" 200 7922 "https://192.168.0.138/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/screenshots/jackpot_center.png HTTP/1.1" 200 470591 "https://192.168.0.138/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/screenshots/jackpot_right.png HTTP/1.1" 200 404952 "https://192.168.0.138/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/sw.js HTTP/1.1" 200 1439 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /icons/ico.png HTTP/1.1" 404 207 "https://192.168.0.138/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET / HTTP/1.1" 200 4284 "https://192.168.0.138/static/sw.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/manifest.json HTTP/1.1" 200 490 "https://192.168.0.138/static/sw.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
192.168.0.138 - - [25/Dec/2024:18:55:24 +0200] "GET /static/icons/ico512.png HTTP/1.1" 200 62109 "https://192.168.0.138/static/sw.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET / HTTP/1.1" 200 4284 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET /static/styles.css HTTP/1.1" 200 5523 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET /static/icons/ico.png HTTP/1.1" 200 17589 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET /static/screenshots/jackpot_left.png HTTP/1.1" 200 428419 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET /static/app.js HTTP/1.1" 200 7922 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET /static/screenshots/jackpot_center.png HTTP/1.1" 200 470591 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET /static/screenshots/jackpot_right.png HTTP/1.1" 200 404952 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET /favicon.ico HTTP/1.1" 404 207 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:13 +0200] "GET /static/sw.js HTTP/1.1" 200 1439 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:14 +0200] "GET /static/manifest.json HTTP/1.1" 200 490 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:14 +0200] "GET /static/icons/ico512.png HTTP/1.1" 200 62109 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:14 +0200] "GET /static/icons/ico.png HTTP/1.1" 200 17589 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:14 +0200] "GET /static/icons/ico512.png HTTP/1.1" 200 62109 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [26/Dec/2024:15:31:28 +0200] "GET /static/icons/ico512.png HTTP/1.1" 200 62109 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
